date,doy,electron_activity,proton_activity,flare,cme,missing_data,missing_pct,units
2017-12-23,357,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-24,358,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-25,359,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-26,360,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-27,361,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-28,362,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-29,363,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-30,364,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-12-31,365,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-01,1,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-02,2,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-03,3,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-04,4,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-05,5,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-06,6,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-07,7,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-08,8,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-09,9,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-10,10,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-11,11,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-12,12,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-13,13,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-14,14,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-15,15,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-16,16,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-17,17,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-18,18,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-19,19,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-20,20,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-21,21,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-22,22,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-23,23,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-24,24,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-25,25,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-26,26,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-27,27,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-28,28,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-29,29,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-30,30,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-01-31,31,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-01,32,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-02,33,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-03,34,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-04,35,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-05,36,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-06,37,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-02-07,38,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-08,39,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-09,40,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-10,41,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-11,42,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-12,43,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-02-13,44,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-14,45,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-15,46,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-16,47,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-17,48,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-18,49,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-19,50,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-20,51,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-02-21,52,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-02-22,53,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-02-23,54,Low,Low,No,No,No,0,particles/sq cm.sec.sr
